date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2/25/2022,162.5784607,209.9032898,153.7884979,186.6803589,201.4799957,177.7619629,207.1703033,51.35748291,127.5923843,148.3598022,324.4202271,294.8764954,178.8189545,110.9598846,44.58649826,154.3745728,136.8573608,57.85873795,234.3404083,111.6837692,70.5797348,290.9746094,133.9661255,148.5880432,163.7152557,457.3809509,215.0280609,46.06206131,43.65842056
2/28/2022,162.8447571,209.3947754,153.5630035,187.4802399,205.3399963,178.2560883,209.5995178,51.1100502,130.8826141,147.298172,316.2383423,294.112915,179.9474792,109.467659,44.57715225,153.0447083,131.1507111,57.29717636,231.223053,110.3035812,70.82017517,292.4231567,131.7944946,146.3813782,162.1955719,457.4963379,211.9389954,45.6790657,43.2678833
3/1/2022,160.9512024,208.2205811,151.1419983,171.5982666,194.9100037,173.742218,207.9667511,50.05612946,136.0815582,144.5597534,305.9018555,298.2289124,174.1152191,108.43116,43.75476456,152.5146332,126.2025146,57.04862213,226.3675385,107.4096527,70.59822083,288.6649475,127.6152649,143.9587402,158.4104004,457.8617249,204.9273071,45.62799835,43.53358078
3/2/2022,164.2648773,211.3455811,152.0525055,173.7666626,197.8099976,183.036087,209.4601288,51.4582901,140.0989685,146.1869202,313.5260925,304.8594055,176.8084869,110.6739502,45.67054749,154.4117279,128.8199615,57.47209167,227.6050262,109.242485,70.90339661,293.7932739,130.9547729,144.4094543,163.9418182,466.6391602,204.4468079,46.07909012,43.58799362
3/3/2022,163.9394684,215.0900726,147.8984985,173.3618927,188.8500061,185.1647491,203.8450623,51.38497543,141.9894867,144.4307861,310.7671814,302.0563354,177.8326874,112.5235825,44.79209518,156.6808472,127.9043121,57.50891113,223.5524292,110.0438766,71.34729767,289.6142578,129.3043365,144.9447327,163.8663177,467.8024292,203.2209778,46.52166367,44.58998489
3/4/2022,160.9216156,215.3397217,145.6410065,166.6737366,180.8399963,185.9344788,202.1127472,51.78821182,144.1981354,139.6187286,307.2719727,301.9632568,177.747345,113.1401291,44.92292786,157.6108398,124.3064728,57.60097122,222.7589569,108.8788757,71.97616577,283.6834106,126.9003983,145.6771393,163.6775208,479.3968201,196.4152222,46.9046669,45.72002411
3/7/2022,157.1049194,216.6803284,137.4530029,153.3552551,169.1699982,186.9227753,195.3627014,50.94508362,147.2793121,132.455246,300.0205383,300.5757141,172.749588,112.6486893,44.55846405,160.1496582,119.5062485,56.22930527,211.9143066,106.3188629,71.88368988,272.9667053,120.3802948,143.517395,160.2699432,468.0716248,187.0107574,46.53868484,45.35187912
3/8/2022,155.2705688,213.6662445,136.0144958,154.2418671,173.8000031,199.5616913,191.2310638,49.85451508,154.9959106,130.7189331,299.5358582,294.9603271,173.7737885,112.3002014,44.39024734,156.9040833,118.6645737,54.00148392,210.459549,107.8919754,71.16234589,269.9719543,117.255661,137.8364258,159.0050964,455.1794128,188.0012207,45.32160187,44.41392517
3/9/2022,160.7046204,213.9990997,139.279007,162.5297546,178.5599976,199.3526154,202.262085,51.247509,151.1240082,132.6040649,310.9255981,297.1713562,175.8222198,112.7826996,44.51173401,157.4992523,123.4185562,54.27766037,210.1572418,108.7824249,71.93917084,282.3523865,122.808403,139.6956635,162.6108551,466.8218079,195.8954926,45.17691803,44.64440918
3/10/2022,156.3356934,209.8293152,146.8175049,163.4453125,178.3899994,201.2626953,199.2653809,50.13861084,155.259552,132.5941467,307.4863281,297.864563,174.8359528,111.1117859,43.60523987,157.778244,121.9572067,53.28343201,209.7132568,106.801178,72.0316391,279.504364,121.9184265,136.0993042,163.1042786,472.4651489,194.1401215,45.3045845,45.65919495
