date,a2c,ddpg,ppo,td3,sac,mvo,dji
2022-04-05,894590.1046025696,989695.7836297532,1008929.9486188509,972999.4361298294,959612.4752719882,954064.9335143978,946866.8358067474
2022-04-06,888352.0536992493,987607.3409417649,1002291.8934321558,971210.0151856155,948985.4413059237,942788.1972296576,942912.4894150783
2022-04-07,889745.5622899475,989702.9444039841,1001148.3496688157,974884.6720574112,948026.3969905856,949521.913191241,945292.1493090349
2022-04-08,895595.5030248108,990891.2645181199,1004489.5129681246,973990.8948853225,945290.9032276156,944458.4131837913,949051.8807403898
2022-04-11,891089.128375763,978360.6936257859,994696.9126025011,961890.3228562088,932316.7339771274,924477.3616954816,937762.0263572071
2022-04-12,888796.4091527405,976256.3011773606,993444.5402575304,960465.7304985733,932283.2913043979,924346.2504857981,935364.3263124347
2022-04-13,895097.807407135,983519.5742715378,998559.9739275743,969522.2430069656,948615.4131801608,935511.1034674365,944773.3583052754
2022-04-14,887801.7751805725,981537.6837838669,1002218.9767606661,967575.4039871902,944523.2756336215,916819.0470602976,941674.8257348766
2022-04-18,885074.66873526,980707.0295480271,1003417.6498326455,966612.4538033218,946248.7509029391,913640.3287584109,940594.0566996475
2022-04-19,899228.6705968323,994886.7742761155,1010434.3337308313,980776.0419037552,964201.0985630038,927545.1974934598,954247.4441753
2022-04-20,901816.0172002258,999076.6839364548,1015197.3090461046,987563.6074822159,963388.4305370334,937544.4863384435,961069.6278754225
2022-04-21,891034.7124211731,988717.965461113,1007970.3883039476,978432.5086052627,948186.1787326816,930858.9346832758,951010.0571107443
2022-04-22,867871.7867619934,960931.029876091,971497.2045997393,951913.7490837784,922142.181235123,912919.3205118813,924185.9928615671
2022-04-25,874983.927127594,971264.2536157151,977300.3141717074,957667.5193436355,929301.3147762301,923758.5150784005,930693.0205936523
2022-04-26,856040.005618805,949790.5838387986,950137.0233576738,936426.6942818374,902481.7800395968,896638.6999037848,908572.5156662309
